Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DemoTesting,Chrome 86.0.4240.193,,,2020-11-12 15:48:10,2020-11-12 15:49:08,58.010s,PASSED
,,,,,,,
Test Cases/DKT-1,Chrome 86.0.4240.193,"Summary: TC1-Test Login Success
Description: Following these steps to test:
1. Open browser, e.g Chrome
2. Navigate to URL [http://localhost:6969/demotesting|http://localhost:6969/demotesting]
3. Type username: thinhtpt@gmail.com
4. Type password: 123456
5. Click login button
6. Verify welcome title: Hi, Tran Thinh",jira-integration,2020-11-12 15:48:11,2020-11-12 15:48:30,19.311s,PASSED
"openBrowser("""")",Chrome 86.0.4240.193,,,2020-11-12 15:48:12,2020-11-12 15:48:19,6.752s,PASSED
"navigateToUrl(""http://localhost:6969/demotesting/"")",Chrome 86.0.4240.193,,,2020-11-12 15:48:19,2020-11-12 15:48:25,6.395s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Username_txtUsername""), ""thinhtpt@gmail.com"")",Chrome 86.0.4240.193,,,2020-11-12 15:48:25,2020-11-12 15:48:27,2.029s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page/input_Password_txtPassword""), ""aeHFOx8jV/A="")",Chrome 86.0.4240.193,,,2020-11-12 15:48:27,2020-11-12 15:48:28,0.818s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page/strong_Sign in""))",Chrome 86.0.4240.193,,,2020-11-12 15:48:28,2020-11-12 15:48:29,1.230s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Home Page/h3_Ahihi, Tran Thinh""), ""Ahihi, Tran Thinh!"")",Chrome 86.0.4240.193,,,2020-11-12 15:48:29,2020-11-12 15:48:29,0.448s,PASSED
closeBrowser(),Chrome 86.0.4240.193,,,2020-11-12 15:48:29,2020-11-12 15:48:30,0.776s,PASSED
,,,,,,,
Test Cases/DKT-2,Chrome 86.0.4240.193,"Summary: TC2-Test Login Fail
Description: Following these steps to test:

# Open browser, e.g Chrome
# Navigate to URL [http://localhost:6969/demotesting|http://localhost:6969/demotesting]
# Type username as in attached  excel file
# Type password as in attached  excel file
# Click login button
# Verify error message with error in attached excel file",jira-integration,2020-11-12 15:48:30,2020-11-12 15:48:38,7.524s,PASSED
"openBrowser("""")",Chrome 86.0.4240.193,,,2020-11-12 15:48:31,2020-11-12 15:48:34,3.612s,PASSED
"navigateToUrl(""http://localhost:6969/demotesting/"")",Chrome 86.0.4240.193,,,2020-11-12 15:48:34,2020-11-12 15:48:35,0.705s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page/input_Username_txtUsername""), username)",Chrome 86.0.4240.193,,,2020-11-12 15:48:35,2020-11-12 15:48:36,0.730s,PASSED
